dni;nombre;apellidos;direccion;telefono;sueldo;hospital_nombre
47000069;Charissa;Macias;P.O. Box 349, 7627 Pellentesque Rd.;002-403-8627;858655;HospitalEmerald
47000070;Wayne;Little;Ap #481-439 Nec, St.;036-465-2457;753036;HospitalAnika
47000071;Quemby;Smith;602-1558 Mauris Ave;022-164-7778;376829;HospitalYuri
47000072;Chantale;Tucker;Ap #391-7972 Sapien Rd.;052-389-8265;777066;HospitalNehru
47000073;Ebony;Mathews;P.O. Box 173, 9903 Elit, St.;099-846-5783;657004;HospitalCecilia
47000074;Gil;Pittman;940-305 Integer Ave;019-396-5045;596107;HospitalWilliam
47000075;Jesse;Dickerson;Ap #582-6331 Nec Avenue;044-509-3242;891573;HospitalKennedy
47000076;Thane;Tran;Ap #489-8908 Integer Avenue;081-241-3316;427267;HospitalNehru
47000077;Tucker;Sawyer;Ap #597-8098 Enim Road;046-127-3387;631660;HospitalNehru
47000078;Erica;Curry;720-4191 Fusce Road;086-716-0545;208767;HospitalPascale
47000079;Cullen;Washington;Ap #291-9128 Molestie St.;040-704-3720;114353;HospitalWilliam
47000080;Ahmed;Strickland;Ap #802-2790 Pharetra St.;036-846-4144;712770;HospitalDennis
47000081;Cara;Weiss;8448 Augue St.;021-508-7331;665194;HospitalDoris
47000082;Margaret;Lynn;360-2095 Lacus. St.;060-524-1547;672123;HospitalAlden
47000083;Laurel;Floyd;8718 Auctor, Ave;063-480-3067;634736;HospitalNehru
47000084;Zorita;Gregory;7212 Orci Avenue;043-163-9431;820699;HospitalCecilia
47000085;Addison;Miranda;1805 Curabitur St.;093-427-5370;544783;HospitalPascale
47000086;Alice;Neal;8237 Dui. Av.;001-284-5061;786560;HospitalAnika
47000087;Kennedy;Blanchard;P.O. Box 718, 8111 Nisi Road;087-527-4575;492670;HospitalEcho
47000088;Brenda;Rodgers;375-5392 Nulla Ave;067-782-4170;304768;HospitalNero
47000089;Kermit;Dixon;Ap #695-8933 Dolor Rd.;037-167-2727;575188;HospitalDoris
47000090;Hoyt;Hebert;P.O. Box 190, 4771 Eget, Rd.;055-411-4110;129500;HospitalAnika
47000091;Lester;Marquez;Ap #381-7145 Convallis Road;028-512-6221;468060;HospitalCecilia
47000092;Gisela;Dejesus;291-9971 Et, St.;043-682-8832;390589;HospitalWhilemina
47000093;Mira;Graham;Ap #319-6094 A Avenue;087-128-3372;268519;HospitalNerea
47000094;Dominique;Spears;P.O. Box 340, 1279 Vulputate, Rd.;001-307-8325;622328;HospitalYuri
47000095;Yolanda;Conner;900 Pellentesque Rd.;057-548-5544;609547;HospitalWilliam
47000096;Emerson;Sullivan;Ap #219-7849 Eu St.;068-913-7230;165745;HospitalAlden
47000097;Ian;Merritt;Ap #646-3969 Ornare, Avenue;076-548-4524;979432;HospitalEmerald
47000098;Laura;Nicholson;Ap #207-4282 Urna. Av.;048-057-4118;842957;HospitalAnika
47000099;Caleb;Hendricks;795-1528 In St.;034-514-6413;821525;HospitalPascale
